date,time,profile_name,tutorial_entered_at,play_entered_at,play_ended_at,total_game_time_s,score_a,score_b,a_joint1_distance_rad,a_joint2_distance_rad,a_joint3_distance_rad,a_joint4_distance_rad,a_joint5_distance_rad,a_joint6_distance_rad,b_joint1_distance_rad,b_joint2_distance_rad,b_joint3_distance_rad,b_joint4_distance_rad,b_joint5_distance_rad,b_joint6_distance_rad
2026-07-08,17-54-06,two_teams,2026-07-08T17:54:06.944091+08:00,2026-07-08T17:55:36.968588+08:00,2026-07-08T18:00:37.102361+08:00,390.158,6,0,9.502666,4.620710,5.880552,14.677064,9.982491,13.786097,0.433195,0.431829,0.473880,0.420587,0.506125,0.328664
2026-07-08,18-01-27,two_teams,2026-07-08T18:01:27.060267+08:00,2026-07-08T18:02:57.071039+08:00,2026-07-08T18:07:57.146372+08:00,390.086,4,0,7.395147,5.043681,12.819573,19.125790,12.694373,8.402020,5.058159,6.164988,6.027839,18.245936,9.108790,7.716187
2026-07-08,18-11-29,two_teams,2026-07-08T18:11:29.947510+08:00,2026-07-08T18:12:59.954503+08:00,2026-07-08T18:18:00.045041+08:00,390.098,10,0,9.138260,13.984630,12.136987,21.246265,18.511956,24.734643,4.272607,2.014111,1.198534,1.962134,3.707724,3.504785
2026-07-08,18-25-30,two_teams,2026-07-08T18:25:30.889259+08:00,2026-07-08T18:27:00.897735+08:00,2026-07-08T18:32:01.056142+08:00,390.167,0,0,0.522755,0.382627,0.388975,0.403989,0.408741,0.294027,0.461915,0.427934,0.464895,0.418583,0.522421,0.322603
2026-07-08,18-44-08,two_teams,2026-07-08T18:44:08.277532+08:00,2026-07-08T18:45:38.291754+08:00,2026-07-08T18:50:38.446677+08:00,390.169,8,0,4.359618,1.384824,1.109790,2.067445,3.527419,16.095102,8.961392,3.173353,7.621625,4.145542,8.741627,5.876899
2026-07-09,10-15-00,two_teams,2026-07-09T10:15:00.136829+08:00,2026-07-09T10:15:00.804097+08:00,2026-07-09T10:15:01.288937+08:00,1.152,0,0,0.003088,0.065906,0.070239,0.001915,0.103398,0.103339,0.001679,0.064506,0.066948,0.094114,0.098597,0.002499
2026-07-09,10-56-22,two_teams,2026-07-09T10:56:22.078129+08:00,2026-07-09T10:57:52.094210+08:00,2026-07-09T11:02:52.246757+08:00,390.169,4,30,0.493165,0.384881,0.416215,0.395735,0.393528,0.287497,0.439796,0.437826,0.679426,0.424668,0.496238,0.319863
2026-07-09,11-10-39,two_teams,2026-07-09T11:10:39.828176+08:00,2026-07-09T11:12:09.843801+08:00,2026-07-09T11:19:03.216840+08:00,503.389,11,0,0.624829,0.467227,0.479421,0.502331,0.482463,0.348564,1.517319,5.879930,1.529445,2.202778,9.313450,3.647012
2026-07-09,11-20-08,two_teams,2026-07-09T11:20:08.052150+08:00,2026-07-09T11:21:38.064037+08:00,2026-07-09T11:26:38.213897+08:00,390.162,49,10,8.790589,5.288789,7.798554,26.705453,15.555419,25.048962,8.450529,4.658905,4.869963,4.460759,15.967260,21.564724
2026-07-09,11-27-38,two_teams,2026-07-09T11:27:38.288717+08:00,2026-07-09T11:29:08.298629+08:00,2026-07-09T11:34:08.462514+08:00,390.174,7,0,3.329565,7.817454,10.137999,27.958113,12.588334,13.059977,5.168846,9.652671,9.555366,28.308102,5.797884,5.742361
2026-07-09,11-36-37,two_teams,2026-07-09T11:36:37.948821+08:00,2026-07-09T11:37:43.472913+08:00,2026-07-09T11:41:24.459156+08:00,286.510,6,0,5.625186,5.464745,5.304301,6.983003,9.722715,10.809737,3.219368,3.253738,3.432150,6.459240,7.952562,7.536054
2026-07-09,11-42-22,two_teams,2026-07-09T11:42:22.168982+08:00,2026-07-09T11:43:04.658057+08:00,2026-07-09T11:48:04.744001+08:00,342.575,160,110,8.546237,11.669251,13.547434,25.774279,30.324061,51.163975,7.522893,13.619607,25.885965,37.060772,6.601211,19.878633
2026-07-09,11-49-40,two_teams,2026-07-09T11:49:40.860727+08:00,2026-07-09T11:51:10.869718+08:00,2026-07-09T11:56:10.986120+08:00,390.125,0,0,0.511276,0.376799,0.368427,0.413181,0.402934,0.292531,0.499825,0.440537,0.422544,0.437202,0.518917,0.326616
2026-07-09,11-56-56,two_teams,2026-07-09T11:56:56.747346+08:00,2026-07-09T11:58:26.768672+08:00,2026-07-09T12:03:26.840223+08:00,390.093,0,0,0.483859,0.378646,0.362962,0.410388,0.400002,0.293012,0.450925,0.427380,0.412623,0.419006,0.511861,0.332328
2026-07-09,12-46-31,two_teams,2026-07-09T12:46:31.337247+08:00,2026-07-09T12:48:01.354253+08:00,2026-07-09T12:53:01.532708+08:00,390.195,0,4,0.501744,0.392661,0.422468,0.412352,0.397054,0.292161,0.444337,0.451012,0.642311,0.438819,0.520516,0.336450
2026-07-09,12-57-49,two_teams,2026-07-09T12:57:49.733489+08:00,2026-07-09T12:59:19.769603+08:00,2026-07-09T13:04:19.945611+08:00,390.212,13,79,3.800384,4.546897,10.916228,13.591564,23.167003,12.594880,3.492433,4.116979,3.433283,5.328664,4.795669,9.649999
2026-07-09,13-05-58,two_teams,2026-07-09T13:05:58.582348+08:00,2026-07-09T13:07:28.591121+08:00,2026-07-09T13:12:28.659148+08:00,390.077,6,72,5.768007,0.486548,0.499540,0.433479,0.396411,0.277404,4.660511,9.535917,7.139880,8.905096,4.433085,4.263138
2026-07-09,13-13-35,two_teams,2026-07-09T13:13:35.922976+08:00,2026-07-09T13:15:05.952336+08:00,2026-07-09T13:20:06.087100+08:00,390.164,71,8,7.644854,7.246401,4.996674,15.348037,4.641375,4.547591,0.421751,0.418364,0.400026,0.400575,0.492140,0.333157
2026-07-09,13-23-47,two_teams,2026-07-09T13:23:47.852304+08:00,2026-07-09T13:25:17.860948+08:00,2026-07-09T13:30:18.028723+08:00,390.176,27,0,2.298306,4.726727,7.354886,4.568638,3.566014,3.449362,0.427234,0.414831,0.402628,0.416015,0.482007,0.309440
2026-07-09,13-34-56,two_teams,2026-07-09T13:34:56.860564+08:00,2026-07-09T13:36:26.886128+08:00,2026-07-09T13:41:27.056042+08:00,390.195,18,58,14.235160,7.919825,4.797550,5.879668,13.831426,14.807524,8.063821,6.224042,6.076106,7.362902,12.999822,12.323122
2026-07-09,13-42-23,two_teams,2026-07-09T13:42:23.327330+08:00,2026-07-09T13:43:53.334697+08:00,2026-07-09T13:48:53.514560+08:00,390.187,17,28,8.277750,10.070604,5.347503,14.213029,12.852702,14.503013,5.867351,3.467798,5.282111,6.736103,5.287853,5.044378
2026-07-09,13-49-46,two_teams,2026-07-09T13:49:46.347167+08:00,2026-07-09T13:51:16.372436+08:00,2026-07-09T13:56:16.507913+08:00,390.161,83,246,5.363186,8.110483,9.013675,23.765205,11.836026,7.697818,9.201198,19.128352,30.342506,50.358722,16.941160,19.055564
2026-07-09,14-17-15,two_teams,2026-07-09T14:17:15.617358+08:00,2026-07-09T14:18:45.627118+08:00,2026-07-09T14:23:45.801465+08:00,390.184,6,0,6.511997,2.720046,2.220158,3.603475,5.373120,4.017308,1.902794,0.467942,0.554367,0.424757,0.493237,0.319590
2026-07-09,14-35-56,two_teams,2026-07-09T14:35:56.974319+08:00,2026-07-09T14:37:26.984109+08:00,2026-07-09T14:42:27.106369+08:00,390.132,7,0,3.927919,1.819118,1.118239,1.926626,3.576680,3.593687,0.437875,0.435486,0.500732,0.422946,0.512350,0.330122
